QA2495,Nueva Zelanda,Acertif
FS3778,Indonesia,Acteon
AI9121,Jamaica,Bowen
KC2936,Noruega,Agua Negra
GE9618,Colombia,Dromedario
LR2069,Panama,Brecon
DA9671,Suiza,Botha
QL4591,Siria,albacora
UW2735,Austria,Achille
LV7419,Qatar,Bronington
GT9752,España,Albrighton
YP3858,Nicaragua,Sumador
WK4832,Brasil,Brixham
XG7925,Filipinas,Albemarle
PA1651,Islas Malvinas,Bumerang
PZ1913,Nueva Zelanda,Conductor
QD4440,Estados Unidos,Abrams Oferta
PV6712,Paraguay,Brocklesby
VH2584,Ecuador,Boreas
RW4421,Suiza,Downley
KY2131,Paraguay,alberni
UZ5981,Cuba,Brissenden
ED5736,Chile,guysborough
RK9162,Argentina,Brigham
FM3163,Finlandia,Albany
OA5815,Islas Malvinas,Brinton
OF1501,Noruega,Blaxton
PB7290,Reino Unido,Drogheda
PP3724,Portugal,Alaunia II
DG5218,Filipinas,Drury
WC8293,Australia,Campanilla
HH5472,Republica Dominicana,Boulston
DS0478,Chile,Penelope
LN8777,Tailandia,Bridlington
UO8744,Paraguay,Brezo
GJ5946,Noruega,Breconshire
DV6261,Belgica,Bridgewater
YB1434,Belgica,Boyne
NQ5495,Panama,Brighton
VY5330,Australia,brenchley
ZC6249,Brasil,Pato
HV2199,Mexico,acasta
GO7311,Australia,Ventaja
SQ8557,Vietnam,Terrible
BY4314,Suiza,Resplandor
RP8314,Ecuador,brantford
DC7834,Qatar,Sable
IW2489,Australia,Eolo
AL1557,Dinamarca,Boadicea
YE6286,Argentina,Castillo de Bowes
EX4705,Japon,Firme
MU6547,Sudafrica,Eneas
YN4644,Islas Malvinas,Bellota
OI4579,Egipto,Gulnare
NL7862,Nueva Zelanda,Bottisham
EV7485,Qatar,Bravo
WC2925,Costa Rica,briseis
RV9799,Dinamarca,Blanche
BN4195,Costa Rica,acheron
ZX2922,India,Abbotsham
ZV9679,Australia,Blean
OO2266,Qatar,druida
LI5894,Singapur,Driada
AL8743,Filipinas,Adelaide
WI9449,Suiza,Bligh
PV7666,Austria,Boulogne
MZ9845,Italia,Blakeney
BF7024,Finlandia,Alban
OJ8771,España,Activo
RY9242,Canada,pechiazul
VC7492,Singapur,Abeille
YC1851,Austria,Bonne Ciudadana
OF5460,Chile,Boscawen
UH6836,Portugal,Aladdin
AM9504,Paraguay,Chaqueta de sport
OB9598,Vietnam,Albuera
BZ3311,Noruega,Floracion
TJ7818,Portugal,Blankney
NK1201,Ecuador,Castillo de Bombay
HE8199,Jamaica,Brampton
TO8113,Austria,Almirantazgo
HF1544,Jamaica,Alcaston
UY2987,Islas Malvinas,Continuar
VP2429,Australia,Premio aventura
IX1197,Italia,Boxer
HK6767,Sudafrica,Bridport
IF9396,Portugal,Braave
RO9221,Cuba,Descarado
TR8211,Australia,Brema
XK7318,Argentina,Acacia
SL2391,Sudafrica,Alarma
IH6707,Nicaragua,Boston
QI7769,Japon,Albanaise
GF5994,España,Alcantara
PM8536,Canada,Abdiel
AV9914,Costa Rica,Broadley
HB4367,Egipto,Breda
BI5654,Peru,Consejo
HP3120,Panama,gympie
HI7513,Suiza,Brayford
JD8184,Mexico,Refriega
PU5101,Peru,aventura Galera
JR2308,Tailandia,britomart
BY5212,Colombia,aboukir
CC4639,Polonia,Energico
RJ2733,Estados Unidos,Almirante Devries
EH9187,Qatar,Aberdeen
patente_barco,pais,nombre_barco
VT6220,Mexico,Abisinia
VG7905,Tailandia,Brakel
XN4914,Peru,Agudo
VW7522,Australia,acteon
BB5259,Brasil,Flor
ON7101,Argentina,Abundante
YG2900,Sudafrica,Almirante Farragut
LD3618,Republica Dominicana,Braak
LW6201,Japon,Braithwaite
WD8846,Noruega,Blake
ST8633,Mexico,Aberford
NN2774,Tailandia,Drochterland
MW6341,Tailandia,Albert
PZ3477,Nicaragua,Afridi
AI2283,Reino Unido,blackwall
MJ4934,Ecuador,Brantingham
GS9663,Polonia,broadwater
OR9516,Singapur,Espada
SU8617,Belgica,Trenza
OY7209,Reino Unido,Bombardear
FI2331,Austria,Bolton Castle
WX5990,Argentina,Bogam
DK4889,Portugal,Bristol
VR7517,Islas Malvinas,albury
SV9482,Panama,Bleasdale
NT2280,Colombia,Premio Dreadnought
IG9597,Indonesia,Aetna
ZP4420,Chile,magnolia
DQ3759,India,Branlebas
OT5458,Mexico,Aconito
RA3983,Finlandia,Bonito
LS5992,Costa Rica,Abelardo
MO4425,Filipinas,abondance
YW8268,Cuba,britanico
ID7819,Panama,As
GM1638,Islas Malvinas,Afrikander
HF4402,Austria,Brillante
YX2002,Islas Malvinas,Valiente
OC4762,Finlandia,Actividad
DY6365,Irlanda,Dubford
HH5023,Republica Dominicana,Bolebroke
OH1392,Jamaica,Broadway
EB3227,Peru,Bossington
SG9128,Japon,Avanzar
PJ3020,Japon,bowmanville
KQ3854,Nicaragua,Bravucon
EE2109,Nueva Zelanda,Premio dragon
RQ2918,Dinamarca,Libelula
NN8091,Jamaica,Broaderschap
GS9404,Filipinas,Bramham
TS8958,Indonesia,Castillo bridgnorth
HE5247,Polonia,Negrita
CI3218,Siria,Agamenon
WF3051,Singapur,Brereton
EI5702,Italia,Admirable
AY3986,Islas Malvinas,Bradfield
UH1378,Sudafrica,Albian
UE6214,Ecuador,Bonavoila
QJ6353,Peru,Alamein
LA5643,Siria,abergavenny
